State,County,Year,Median.AQI,FIPS
Alabama,Autauga,1981,41,01001
Alabama,Autauga,1980,48,01001
Alabama,Autauga,1990,43,01001
Alabama,Autauga,1989,34,01001
Alabama,Autauga,1982,40,01001
Alabama,Baldwin,2020,36,01003
Alabama,Baldwin,2000,54,01003
Alabama,Baldwin,2019,37,01003
Alabama,Baldwin,2011,42,01003
Alabama,Baldwin,2005,46,01003
Alabama,Baldwin,2023,40,01003
Alabama,Baldwin,2015,38,01003
Alabama,Baldwin,2018,35,01003
Alabama,Baldwin,2003,41,01003
Alabama,Baldwin,2021,35,01003
Alabama,Baldwin,2002,38,01003
Alabama,Baldwin,2008,37,01003
Alabama,Baldwin,2001,43,01003
Alabama,Baldwin,2012,38,01003
Alabama,Baldwin,2014,38,01003
Alabama,Baldwin,2004,43,01003
Alabama,Baldwin,2017,36,01003
Alabama,Baldwin,2007,43,01003
Alabama,Baldwin,2006,46,01003
Alabama,Baldwin,2022,37,01003
Alabama,Baldwin,2009,36,01003
Alabama,Baldwin,2010,43,01003
Alabama,Baldwin,2013,36,01003
Alabama,Baldwin,2016,37,01003
Alabama,Barbour,2004,45,01005
Alabama,Barbour,2005,47,01005
Alabama,Barbour,2003,38,01005
Alabama,Barbour,2006,35,01005
Alabama,Calhoun,1992,22,01015
Alabama,Calhoun,1995,19,01015
Alabama,Calhoun,1991,24,01015
Alabama,Calhoun,1990,23,01015
Alabama,Calhoun,1998,23,01015
Alabama,Calhoun,1997,19,01015
Alabama,Calhoun,1994,19,01015
Alabama,Calhoun,1996,17,01015
Alabama,Calhoun,1993,23,01015
Alabama,Clay,2023,40,01027
Alabama,Clay,2017,30,01027
Alabama,Clay,2015,32,01027
Alabama,Clay,2020,26,01027
Alabama,Clay,1998,54,01027
Alabama,Clay,2011,39,01027
Alabama,Clay,2004,44,01027
Alabama,Clay,2016,30,01027
Alabama,Clay,2002,45,01027
Alabama,Clay,2007,50,01027
Alabama,Clay,2008,43,01027
Alabama,Clay,2018,27,01027
Alabama,Clay,1999,58,01027
Alabama,Clay,2005,46,01027
Alabama,Clay,2000,46,01027
Alabama,Clay,1996,45,01027
Alabama,Clay,1993,44,01027
Alabama,Clay,2012,35,01027
Alabama,Clay,2013,32,01027
Alabama,Clay,1991,22,01027
Alabama,Clay,2021,27,01027
Alabama,Clay,1997,48,01027
Alabama,Clay,2019,30,01027
Alabama,Clay,2022,26,01027
Alabama,Clay,2001,46,01027
Alabama,Clay,1994,38,01027
Alabama,Clay,2006,48,01027
Alabama,Clay,2010,42,01027
Alabama,Clay,2003,44,01027
Alabama,Clay,1992,25,01027
Alabama,Clay,2014,36,01027
Alabama,Clay,2009,33,01027
Alabama,Clay,1995,42,01027
Alabama,Colbert,2017,37,01033
Alabama,Colbert,2013,38,01033
Alabama,Colbert,2002,41,01033
Alabama,Colbert,1998,20,01033
Alabama,Colbert,1999,60,01033
Alabama,Colbert,2007,48,01033
Alabama,Colbert,2000,58,01033
Alabama,Colbert,1992,19,01033
Alabama,Colbert,2008,43,01033
Alabama,Colbert,2006,45,01033
Alabama,Colbert,2009,43,01033
Alabama,Colbert,2010,47,01033
Alabama,Colbert,2011,42,01033
Alabama,Colbert,1995,35,01033
Alabama,Colbert,2019,37,01033
Alabama,Colbert,2004,43,01033
Alabama,Colbert,2003,42,01033
Alabama,Colbert,2005,46,01033
Alabama,Colbert,2018,35,01033
Alabama,Colbert,2014,37,01033
Alabama,Colbert,1994,42,01033
Alabama,Colbert,1991,20,01033
Alabama,Colbert,2001,47,01033
Alabama,Colbert,1993,21,01033
Alabama,Colbert,1996,14,01033
Alabama,Colbert,1997,16,01033
Alabama,Colbert,2016,38,01033
Alabama,Colbert,2012,40,01033
Alabama,Colbert,1990,19,01033
Alabama,Colbert,2015,36,01033
Alabama,Cullman,1985,44,01043
Alabama,Cullman,1983,45,01043
Alabama,Cullman,1986,54,01043
Alabama,Cullman,1987,47,01043
Alabama,Cullman,1984,44,01043
Alabama,DeKalb,1998,46,01049
Alabama,DeKalb,2023,43,01049
Alabama,DeKalb,1996,41,01049
Alabama,DeKalb,2011,40,01049
Alabama,DeKalb,2007,47,01049
Alabama,DeKalb,2017,39,01049
Alabama,DeKalb,2020,36,01049
Alabama,DeKalb,2006,47,01049
Alabama,DeKalb,2019,39,01049
Alabama,DeKalb,2008,43,01049
Alabama,DeKalb,1992,38,01049
Alabama,DeKalb,2005,43,01049
Alabama,DeKalb,1994,38,01049
Alabama,DeKalb,1999,59,01049
Alabama,DeKalb,2002,44,01049
Alabama,DeKalb,2014,38,01049
Alabama,DeKalb,1995,48,01049
Alabama,DeKalb,2015,37,01049
Alabama,DeKalb,2012,40,01049
Alabama,DeKalb,2016,40,01049
Alabama,DeKalb,2000,51,01049
Alabama,DeKalb,2013,38,01049
Alabama,DeKalb,1993,44,01049
Alabama,DeKalb,2010,43,01049
Alabama,DeKalb,1997,37,01049
Alabama,DeKalb,2004,43,01049
Alabama,DeKalb,1990,47,01049
Alabama,DeKalb,2021,36,01049
Alabama,DeKalb,2009,36,01049
Alabama,DeKalb,2003,44,01049
Alabama,DeKalb,1991,41,01049
Alabama,DeKalb,2001,46,01049
Alabama,DeKalb,2022,37,01049
Alabama,DeKalb,2018,35,01049
Alabama,Elmore,2006,46,01051
Alabama,Elmore,1990,45,01051
Alabama,Elmore,2002,42,01051
Alabama,Elmore,1993,44,01051
Alabama,Elmore,2016,40,01051
Alabama,Elmore,1995,33,01051
Alabama,Elmore,1999,45,01051
Alabama,Elmore,2011,44,01051
Alabama,Elmore,1994,35,01051
Alabama,Elmore,2007,45,01051
Alabama,Elmore,2019,39,01051
Alabama,Elmore,2022,33,01051
Alabama,Elmore,2004,42,01051
Alabama,Elmore,1998,47,01051
Alabama,Elmore,2008,42,01051
Alabama,Elmore,1992,41,01051
Alabama,Elmore,2005,42,01051
Alabama,Elmore,2020,31,01051
Alabama,Elmore,1991,40,01051
Alabama,Elmore,2000,50,01051
Alabama,Elmore,2013,36,01051
Alabama,Elmore,2023,40,01051
Alabama,Elmore,1996,44,01051
Alabama,Elmore,2017,35,01051
Alabama,Elmore,2021,32,01051
Alabama,Elmore,1997,45,01051
Alabama,Elmore,2015,35,01051
Alabama,Elmore,2012,40,01051
Alabama,Elmore,2003,42,01051
Alabama,Elmore,2018,33,01051
Alabama,Elmore,2009,36,01051
Alabama,Elmore,2014,36,01051
Alabama,Elmore,2001,43,01051
Alabama,Elmore,2010,43,01051
Alabama,Escambia,1993,23,01053
Alabama,Escambia,2002,48,01053
Alabama,Escambia,1995,24,01053
Alabama,Escambia,2000,57,01053
Alabama,Escambia,2006,52,01053
Alabama,Escambia,1998,25,01053
Alabama,Escambia,1994,23,01053
Alabama,Escambia,2007,49,01053
Alabama,Escambia,1999,20,01053
Alabama,Escambia,1992,24,01053
Alabama,Escambia,2003,47,01053
Alabama,Escambia,1991,22,01053
Alabama,Escambia,1996,21,01053
Alabama,Escambia,2005,51,01053
Alabama,Escambia,2004,45,01053
Alabama,Escambia,1997,22,01053
Alabama,Escambia,1990,26,01053
Alabama,Escambia,2001,46,01053
Alabama,Etowah,1994,29,01055
Alabama,Etowah,1989,28,01055
Alabama,Etowah,1987,39,01055
Alabama,Etowah,2019,43,01055
Alabama,Etowah,2004,46,01055
Alabama,Etowah,2003,47,01055
Alabama,Etowah,1992,26,01055
Alabama,Etowah,2018,41,01055
Alabama,Etowah,1995,30,01055
Alabama,Etowah,1993,31,01055
Alabama,Etowah,1981,44,01055
Alabama,Etowah,2014,38,01055
Alabama,Etowah,2012,40,01055
Alabama,Etowah,2010,54,01055
Alabama,Etowah,1999,27,01055
Alabama,Etowah,1997,24,01055
Alabama,Etowah,2011,41,01055
Alabama,Etowah,1984,47,01055
Alabama,Etowah,1996,22,01055
Alabama,Etowah,1990,29,01055
Alabama,Etowah,1982,48,01055
Alabama,Etowah,2020,34,01055
Alabama,Etowah,1991,31,01055
Alabama,Etowah,2016,52,01055
Alabama,Etowah,1998,29,01055
Alabama,Etowah,1983,45,01055
Alabama,Etowah,2005,47,01055
Alabama,Etowah,2013,37,01055
Alabama,Etowah,2001,53,01055
Alabama,Etowah,2006,48,01055
Alabama,Etowah,2000,59,01055
Alabama,Etowah,2002,49,01055
Alabama,Etowah,1986,46,01055
Alabama,Etowah,2009,44,01055
Alabama,Etowah,2015,46,01055
Alabama,Etowah,2021,36,01055
Alabama,Etowah,2008,49,01055
Alabama,Etowah,2007,54,01055
Alabama,Etowah,1988,33,01055
Alabama,Etowah,1985,45,01055
Alabama,Etowah,2022,39,01055
Alabama,Etowah,2017,45,01055
Alabama,Etowah,2023,43,01055
Alabama,Franklin,1993,19,01059
Alabama,Franklin,1994,19,01059
Alabama,Franklin,1990,20,01059
Alabama,Franklin,1995,20,01059
Alabama,Franklin,1991,22,01059
Alabama,Franklin,1996,17,01059
Alabama,Franklin,1998,20,01059
Alabama,Franklin,1997,17,01059
Alabama,Franklin,1992,19,01059
Alabama,Geneva,1996,39,01061
Alabama,Geneva,1998,42,01061
Alabama,Geneva,1994,31,01061
Alabama,Geneva,1995,35,01061
Alabama,Geneva,1997,44,01061
Alabama,Houston,2002,49,01069
Alabama,Houston,2006,46,01069
Alabama,Houston,2008,40,01069
Alabama,Houston,1994,22,01069
Alabama,Houston,2015,33,01069
Alabama,Houston,2007,45,01069
Alabama,Houston,2019,35,01069
Alabama,Houston,1992,20,01069
Alabama,Houston,2010,48,01069
Alabama,Houston,1993,21,01069
Alabama,Houston,1990,24,01069
Alabama,Houston,2016,35,01069
Alabama,Houston,1998,26,01069
Alabama,Houston,2004,51,01069
Alabama,Houston,2003,48,01069
Alabama,Houston,1995,24,01069
Alabama,Houston,1999,64,01069
Alabama,Houston,2014,38,01069
Alabama,Houston,1996,17,01069
Alabama,Houston,2005,44,01069
Alabama,Houston,1991,23,01069
Alabama,Houston,1989,24,01069
Alabama,Houston,2001,52,01069
Alabama,Houston,2018,35,01069
Alabama,Houston,2011,44,01069
Alabama,Houston,1997,22,01069
Alabama,Houston,2017,35,01069
Alabama,Houston,2013,36,01069
Alabama,Houston,2012,38,01069
Alabama,Houston,2009,38,01069
Alabama,Houston,2000,54,01069
Alabama,Jackson,2005,28,01071
Alabama,Jackson,1994,19,01071
Alabama,Jackson,1993,21,01071
Alabama,Jackson,1990,21,01071
Alabama,Jackson,2004,40,01071
Alabama,Jackson,1996,16,01071
Alabama,Jackson,1991,21,01071
Alabama,Jackson,1992,23,01071
Alabama,Jackson,1997,13,01071
Alabama,Jackson,1995,23,01071
Alabama,Jefferson,2008,67,01073
Alabama,Jefferson,2010,59,01073
Alabama,Jefferson,1994,43,01073
Alabama,Jefferson,1987,52,01073
Alabama,Jefferson,2018,50,01073
Alabama,Jefferson,2004,67,01073
Alabama,Jefferson,1986,50,01073
Alabama,Jefferson,1996,43,01073
Alabama,Jefferson,1989,46,01073
Alabama,Jefferson,1980,50,01073
Alabama,Jefferson,2017,51,01073
Alabama,Jefferson,2016,49,01073
Alabama,Jefferson,2019,53,01073
Alabama,Jefferson,2022,49,01073
Alabama,Jefferson,1985,48,01073
Alabama,Jefferson,1992,43,01073
Alabama,Jefferson,1983,50,01073
Alabama,Jefferson,1995,46,01073
Alabama,Jefferson,2002,68,01073
Alabama,Jefferson,2014,53,01073
Alabama,Jefferson,1999,81,01073
Alabama,Jefferson,2015,48,01073
Alabama,Jefferson,1988,51,01073
Alabama,Jefferson,2011,58,01073
Alabama,Jefferson,2020,48,01073
Alabama,Jefferson,2005,75,01073
Alabama,Jefferson,2006,79,01073
Alabama,Jefferson,1981,64,01073
Alabama,Jefferson,2001,77,01073
Alabama,Jefferson,1998,46,01073
Alabama,Jefferson,2021,51,01073
Alabama,Jefferson,1990,50,01073
Alabama,Jefferson,2003,69,01073
Alabama,Jefferson,1982,50,01073
Alabama,Jefferson,2023,54,01073
Alabama,Jefferson,2012,52,01073
Alabama,Jefferson,2009,55,01073
Alabama,Jefferson,2000,79,01073
Alabama,Jefferson,2013,50,01073
Alabama,Jefferson,1993,45,01073
Alabama,Jefferson,1991,43,01073
Alabama,Jefferson,1984,45,01073
Alabama,Jefferson,2007,75,01073
Alabama,Jefferson,1997,44,01073
Alabama,Lawrence,2001,44,01079
Alabama,Lawrence,2009,29,01079
Alabama,Lawrence,2015,27,01079
Alabama,Lawrence,1995,43,01079
Alabama,Lawrence,2002,41,01079
Alabama,Lawrence,1998,52,01079
Alabama,Lawrence,1999,54,01079
Alabama,Lawrence,2007,49,01079
Alabama,Lawrence,2013,27,01079
Alabama,Lawrence,2018,23,01079
Alabama,Lawrence,2000,51,01079
Alabama,Lawrence,2017,23,01079
Alabama,Lawrence,2006,46,01079
Alabama,Lawrence,1997,46,01079
Alabama,Lawrence,2010,34,01079
Alabama,Lawrence,2019,24,01079
Alabama,Lawrence,2020,18,01079
Alabama,Lawrence,1992,37,01079
Alabama,Lawrence,2011,34,01079
Alabama,Lawrence,2012,28,01079
Alabama,Lawrence,1993,43,01079
Alabama,Lawrence,2008,35,01079
Alabama,Lawrence,2014,27,01079
Alabama,Lawrence,2021,21,01079
Alabama,Lawrence,2003,44,01079
Alabama,Lawrence,2016,25,01079
Alabama,Lawrence,1996,45,01079
Alabama,Lawrence,1994,41,01079
Alabama,Lawrence,2004,43,01079
Alabama,Lawrence,2005,44,01079
Alabama,Lawrence,2022,22,01079
Alabama,Limestone,1996,17,01083
Alabama,Limestone,1997,15,01083
Alabama,Limestone,2003,44,01083
Alabama,Limestone,2004,31,01083
Alabama,Limestone,1998,19,01083
Alabama,Madison,1981,39,01089
Alabama,Madison,1980,56,01089
Alabama,Madison,2008,51,01089
Alabama,Madison,2005,44,01089
Alabama,Madison,2007,46,01089
Alabama,Madison,1987,45,01089
Alabama,Madison,1983,43,01089
Alabama,Madison,1989,38,01089
Alabama,Madison,2020,40,01089
Alabama,Madison,2021,41,01089
Alabama,Madison,1993,44,01089
Alabama,Madison,1982,36,01089
Alabama,Madison,2010,44,01089
Alabama,Madison,2004,43,01089
Alabama,Madison,2001,44,01089
Alabama,Madison,2000,48,01089
Alabama,Madison,1995,41,01089
Alabama,Madison,2018,41,01089
Alabama,Madison,2019,44,01089
Alabama,Madison,2012,43,01089
Alabama,Madison,1996,44,01089
Alabama,Madison,1992,38,01089
Alabama,Madison,2013,40,01089
Alabama,Madison,2016,40,01089
Alabama,Madison,2022,40,01089
Alabama,Madison,2011,44,01089
Alabama,Madison,2017,39,01089
Alabama,Madison,2009,39,01089
Alabama,Madison,2015,38,01089
Alabama,Madison,1991,43,01089
Alabama,Madison,2014,39,01089
Alabama,Madison,1999,48,01089
Alabama,Madison,1998,41,01089
Alabama,Madison,2023,43,01089
Alabama,Madison,2006,45,01089
Alabama,Madison,2003,44,01089
Alabama,Madison,2002,40,01089
Alabama,Madison,1997,39,01089
Alabama,Madison,1994,37,01089
Alabama,Madison,1990,37,01089
Alabama,Madison,1988,40,01089
Alabama,Marengo,1992,21,01091
Alabama,Marengo,2004,17,01091
Alabama,Marengo,1994,22,01091
Alabama,Marengo,2002,17,01091
Alabama,Marengo,1996,19,01091
Alabama,Marengo,1990,20,01091
Alabama,Marengo,1995,20,01091
Alabama,Marengo,1989,22,01091
Alabama,Marengo,1991,22,01091
Alabama,Marengo,1999,26,01091
Alabama,Marengo,2001,19,01091
Alabama,Marengo,1997,20,01091
Alabama,Marengo,1993,22,01091
Alabama,Marengo,2006,19,01091
Alabama,Marengo,2005,19,01091
Alabama,Marengo,1998,25,01091
Alabama,Marengo,2003,19,01091
Alabama,Marengo,2000,21,01091
Alabama,Mobile,1981,48,01097
Alabama,Mobile,1996,39,01097
Alabama,Mobile,2014,41,01097
Alabama,Mobile,2008,36,01097
Alabama,Mobile,1995,38,01097
Alabama,Mobile,1991,33,01097
Alabama,Mobile,1982,38,01097
Alabama,Mobile,2003,40,01097
Alabama,Mobile,2004,42,01097
Alabama,Mobile,1980,35,01097
Alabama,Mobile,1989,34,01097
Alabama,Mobile,1992,38,01097
Alabama,Mobile,2020,42,01097
Alabama,Mobile,1985,40,01097
Alabama,Mobile,2007,42,01097
Alabama,Mobile,1997,35,01097
Alabama,Mobile,2018,38,01097
Alabama,Mobile,2009,35,01097
Alabama,Mobile,1999,59,01097
Alabama,Mobile,2012,38,01097
Alabama,Mobile,2019,43,01097
Alabama,Mobile,2001,45,01097
Alabama,Mobile,2002,42,01097
Alabama,Mobile,1983,42,01097
Alabama,Mobile,1986,44,01097
Alabama,Mobile,2021,44,01097
Alabama,Mobile,1984,44,01097
Alabama,Mobile,2023,43,01097
Alabama,Mobile,1987,43,01097
Alabama,Mobile,2015,40,01097
Alabama,Mobile,2022,37,01097
Alabama,Mobile,2010,40,01097
Alabama,Mobile,1990,41,01097
Alabama,Mobile,2005,44,01097
Alabama,Mobile,2011,42,01097
Alabama,Mobile,2000,60,01097
Alabama,Mobile,1993,36,01097
Alabama,Mobile,2017,37,01097
Alabama,Mobile,1998,39,01097
Alabama,Mobile,1988,43,01097
Alabama,Mobile,2013,39,01097
Alabama,Mobile,2016,42,01097
Alabama,Mobile,2006,44,01097
Alabama,Mobile,1994,31,01097
Alabama,Monroe,1980,40,01099
Alabama,Monroe,1982,28,01099
Alabama,Monroe,1981,37,01099
Alabama,Montgomery,2019,52,01101
Alabama,Montgomery,2020,52,01101
Alabama,Montgomery,1993,31,01101
Alabama,Montgomery,1989,36,01101
Alabama,Montgomery,2022,37,01101
Alabama,Montgomery,1990,43,01101
Alabama,Montgomery,2013,39,01101
Alabama,Montgomery,2017,45,01101
Alabama,Montgomery,2002,43,01101
Alabama,Montgomery,2009,44,01101
Alabama,Montgomery,1992,21,01101
Alabama,Montgomery,1987,51,01101
Alabama,Montgomery,2018,52,01101
Alabama,Montgomery,1998,37,01101
Alabama,Montgomery,2010,50,01101
Alabama,Montgomery,2003,45,01101
Alabama,Montgomery,2023,47,01101
Alabama,Montgomery,2006,45,01101
Alabama,Montgomery,1994,32,01101
Alabama,Montgomery,2005,47,01101
Alabama,Montgomery,2008,48,01101
Alabama,Montgomery,1996,31,01101
Alabama,Montgomery,1997,29,01101
Alabama,Montgomery,1995,33,01101
Alabama,Montgomery,2011,44,01101
Alabama,Montgomery,2012,43,01101
Alabama,Montgomery,2021,37,01101
Alabama,Montgomery,1986,44,01101
Alabama,Montgomery,1999,51,01101
Alabama,Montgomery,1991,34,01101
Alabama,Montgomery,2016,42,01101
Alabama,Montgomery,2015,45,01101
Alabama,Montgomery,2014,40,01101
Alabama,Montgomery,2007,53,01101
Alabama,Montgomery,2001,45,01101
Alabama,Montgomery,1988,46,01101
Alabama,Montgomery,2000,54,01101
Alabama,Montgomery,2004,43,01101
Alabama,Morgan,1982,41,01103
Alabama,Morgan,1995,22,01103
Alabama,Morgan,2022,40,01103
Alabama,Morgan,2017,39,01103
Alabama,Morgan,1991,23,01103
Alabama,Morgan,1980,47,01103
Alabama,Morgan,1983,27,01103
Alabama,Morgan,2003,48,01103
Alabama,Morgan,1992,21,01103
Alabama,Morgan,1997,18,01103
Alabama,Morgan,1999,64,01103
Alabama,Morgan,2014,39,01103
Alabama,Morgan,2001,46,01103
Alabama,Morgan,1989,21,01103
Alabama,Morgan,2008,44,01103
Alabama,Morgan,2020,35,01103
Alabama,Morgan,2018,37,01103
Alabama,Morgan,1996,46,01103
Alabama,Morgan,2023,41,01103
Alabama,Morgan,2004,48,01103
Alabama,Morgan,2012,42,01103
Alabama,Morgan,2011,43,01103
Alabama,Morgan,1998,22,01103
Alabama,Morgan,2006,50,01103
Alabama,Morgan,1981,39,01103
Alabama,Morgan,1993,43,01103
Alabama,Morgan,2010,50,01103
Alabama,Morgan,2009,48,01103
Alabama,Morgan,2000,63,01103
Alabama,Morgan,2016,40,01103
Alabama,Morgan,2015,38,01103
Alabama,Morgan,1994,26,01103
Alabama,Morgan,2005,48,01103
Alabama,Morgan,1990,21,01103
Alabama,Morgan,2007,54,01103
Alabama,Morgan,2013,40,01103
Alabama,Morgan,2021,39,01103
Alabama,Morgan,2002,46,01103
Alabama,Morgan,2019,41,01103
Alabama,Pike,2006,21,01109
Alabama,Pike,1999,19,01109
Alabama,Pike,1994,25,01109
Alabama,Pike,2003,19,01109
Alabama,Pike,2005,19,01109
Alabama,Pike,1993,19,01109
Alabama,Pike,1997,21,01109
Alabama,Pike,1991,21,01109
Alabama,Pike,1995,20,01109
Alabama,Pike,1990,20,01109
Alabama,Pike,1996,18,01109
Alabama,Pike,2004,18,01109
Alabama,Pike,2002,17,01109
Alabama,Pike,2000,22,01109
Alabama,Pike,1992,19,01109
Alabama,Pike,1998,24,01109
Alabama,Pike,2001,19,01109
Alabama,Russell,2019,40,01113
Alabama,Russell,2005,48,01113
Alabama,Russell,2015,47,01113
Alabama,Russell,2013,41,01113
Alabama,Russell,1999,64,01113
Alabama,Russell,2022,40,01113
Alabama,Russell,2002,55,01113
Alabama,Russell,2003,43,01113
Alabama,Russell,2006,51,01113
Alabama,Russell,1989,24,01113
Alabama,Russell,2021,38,01113
Alabama,Russell,2020,36,01113
Alabama,Russell,2012,44,01113
Alabama,Russell,2016,43,01113
Alabama,Russell,2004,46,01113
Alabama,Russell,1991,23,01113
Alabama,Russell,2008,52,01113
Alabama,Russell,2014,40,01113
Alabama,Russell,1996,19,01113
Alabama,Russell,2007,56,01113
Alabama,Russell,2001,57,01113
Alabama,Russell,2009,45,01113
Alabama,Russell,2000,61,01113
Alabama,Russell,1994,23,01113
Alabama,Russell,1995,26,01113
Alabama,Russell,1993,23,01113
Alabama,Russell,2011,46,01113
Alabama,Russell,2017,44,01113
Alabama,Russell,1997,23,01113
Alabama,Russell,2010,47,01113
Alabama,Russell,1992,23,01113
Alabama,Russell,1998,29,01113
Alabama,Russell,2018,39,01113
Alabama,Russell,1990,25,01113
Alabama,Russell,2023,42,01113
Alabama,Shelby,2005,50,01117
Alabama,Shelby,2019,42,01117
Alabama,Shelby,2013,39,01117
Alabama,Shelby,2022,37,01117
Alabama,Shelby,2009,38,01117
Alabama,Shelby,2012,43,01117
Alabama,Shelby,2018,38,01117
Alabama,Shelby,1987,47,01117
Alabama,Shelby,2020,34,01117
Alabama,Shelby,2008,44,01117
Alabama,Shelby,2014,40,01117
Alabama,Shelby,2021,35,01117
Alabama,Shelby,1998,46,01117
Alabama,Shelby,2003,47,01117
Alabama,Shelby,1995,41,01117
Alabama,Shelby,2006,51,01117
Alabama,Shelby,1991,38,01117
Alabama,Shelby,2016,41,01117
Alabama,Shelby,2017,38,01117
Alabama,Shelby,2001,47,01117
Alabama,Shelby,1989,37,01117
Alabama,Shelby,2000,57,01117
Alabama,Shelby,1994,37,01117
Alabama,Shelby,1997,44,01117
Alabama,Shelby,2015,39,01117
Alabama,Shelby,1992,41,01117
Alabama,Shelby,1986,47,01117
Alabama,Shelby,2023,41,01117
Alabama,Shelby,2002,48,01117
Alabama,Shelby,1996,44,01117
Alabama,Shelby,2010,46,01117
Alabama,Shelby,2007,50,01117
Alabama,Shelby,1999,59,01117
Alabama,Shelby,2011,44,01117
Alabama,Shelby,2004,45,01117
Alabama,Shelby,1990,42,01117
Alabama,Shelby,1988,47,01117
Alabama,Shelby,1993,40,01117
Alabama,Sumter,2006,42,01119
Alabama,Sumter,2002,38,01119
Alabama,Sumter,2011,38,01119
Alabama,Sumter,1993,37,01119
Alabama,Sumter,2007,40,01119
Alabama,Sumter,2018,29,01119
Alabama,Sumter,2015,40,01119
Alabama,Sumter,2022,33,01119
Alabama,Sumter,1992,39,01119
Alabama,Sumter,1996,36,01119
Alabama,Sumter,2005,41,01119
Alabama,Sumter,2021,29,01119
Alabama,Sumter,1991,30,01119
Alabama,Sumter,2019,33,01119
Alabama,Sumter,2013,31,01119
Alabama,Sumter,2001,43,01119
Alabama,Sumter,1999,46,01119
Alabama,Sumter,2016,34,01119
Alabama,Sumter,2020,29,01119
Alabama,Sumter,2003,39,01119
Alabama,Sumter,2023,34,01119
Alabama,Sumter,2017,34,01119
Alabama,Sumter,2010,39,01119
Alabama,Sumter,2000,44,01119
Alabama,Sumter,2008,31,01119
Alabama,Sumter,1995,37,01119
Alabama,Sumter,1997,35,01119
Alabama,Sumter,2014,34,01119
Alabama,Sumter,1994,31,01119
Alabama,Sumter,2009,31,01119
Alabama,Sumter,2004,38,01119
Alabama,Sumter,1998,37,01119
Alabama,Talladega,1993,25,01121
Alabama,Talladega,2012,42,01121
Alabama,Talladega,2016,35,01121
Alabama,Talladega,2002,52,01121
Alabama,Talladega,1990,33,01121
Alabama,Talladega,2007,51,01121
Alabama,Talladega,2015,40,01121
Alabama,Talladega,2006,48,01121
Alabama,Talladega,1996,24,01121
Alabama,Talladega,1999,60,01121
Alabama,Talladega,1998,31,01121
Alabama,Talladega,2008,49,01121
Alabama,Talladega,2003,55,01121
Alabama,Talladega,1992,27,01121
Alabama,Talladega,1991,27,01121
Alabama,Talladega,2014,37,01121
Alabama,Talladega,2010,48,01121
Alabama,Talladega,2004,43,01121
Alabama,Talladega,1997,23,01121
Alabama,Talladega,2013,38,01121
Alabama,Talladega,2001,54,01121
Alabama,Talladega,2005,41,01121
Alabama,Talladega,1994,27,01121
Alabama,Talladega,2011,47,01121
Alabama,Talladega,2000,59,01121
Alabama,Talladega,2017,33,01121
Alabama,Talladega,2009,41,01121
Alabama,Talladega,1995,28,01121
Alabama,Tuscaloosa,2001,41,01125
Alabama,Tuscaloosa,2022,34,01125
Alabama,Tuscaloosa,1995,24,01125
Alabama,Tuscaloosa,2009,40,01125
Alabama,Tuscaloosa,1989,26,01125
Alabama,Tuscaloosa,1997,21,01125
Alabama,Tuscaloosa,1982,44,01125
Alabama,Tuscaloosa,1992,21,01125
Alabama,Tuscaloosa,2014,36,01125
Alabama,Tuscaloosa,2005,47,01125
Alabama,Tuscaloosa,1990,27,01125
Alabama,Tuscaloosa,1981,42,01125
Alabama,Tuscaloosa,2011,38,01125
Alabama,Tuscaloosa,2015,49,01125
Alabama,Tuscaloosa,2017,52,01125
Alabama,Tuscaloosa,2000,56,01125
Alabama,Tuscaloosa,1980,38,01125
Alabama,Tuscaloosa,1991,22,01125
Alabama,Tuscaloosa,1999,61,01125
Alabama,Tuscaloosa,2023,41,01125
Alabama,Tuscaloosa,2019,35,01125
Alabama,Tuscaloosa,1998,25,01125
Alabama,Tuscaloosa,2002,40,01125
Alabama,Tuscaloosa,2003,41,01125
Alabama,Tuscaloosa,2020,31,01125
Alabama,Tuscaloosa,2007,47,01125
Alabama,Tuscaloosa,1993,23,01125
Alabama,Tuscaloosa,2013,36,01125
Alabama,Tuscaloosa,2016,47,01125
Alabama,Tuscaloosa,2006,47,01125
Alabama,Tuscaloosa,2008,40,01125
Alabama,Tuscaloosa,1994,23,01125
Alabama,Tuscaloosa,2010,55,01125
Alabama,Tuscaloosa,1996,24,01125
Alabama,Tuscaloosa,2012,36,01125
Alabama,Tuscaloosa,2004,42,01125
Alabama,Tuscaloosa,2018,37,01125
Alabama,Tuscaloosa,2021,31,01125
Alabama,Walker,1991,23,01127
Alabama,Walker,1990,23,01127
Alabama,Walker,2000,56,01127
Alabama,Walker,1994,21,01127
Alabama,Walker,2002,41,01127
Alabama,Walker,1993,23,01127
Alabama,Walker,2009,39,01127
Alabama,Walker,2004,49,01127
Alabama,Walker,2005,52,01127
Alabama,Walker,2003,52,01127
Alabama,Walker,2007,53,01127
Alabama,Walker,1997,18,01127
Alabama,Walker,1992,22,01127
Alabama,Walker,1996,19,01127
Alabama,Walker,2011,43,01127
Alabama,Walker,1999,60,01127
Alabama,Walker,2010,45,01127
Alabama,Walker,2008,48,01127
